campaign_id,treated_upc,n_stores,incr_units_total,units_ci_lo,units_ci_hi,units_p,incr_margin_total,margin_ci_lo,margin_ci_hi,margin_p,pretrend_p,pretrend_pass,placebo_p,placebo_pass,cannibalized_units_total,gross_cannibalization_rate,qvalue_units,qvalue_margin,validation_status,decision_class,confidence_tier,decision_reason,priority_rank
51870,4640015021,65,3540.511557539651,5.803295842797112,9.759392322212344,1.2561742508228263e-14,3887.8530714285343,7.083815753463682,10.005648296771632,2.0097189281959417e-30,0.2249184962611955,True,0.0140575259286147,False,0.0,0.0,2.6005010806507632e-14,6.974906868444739e-30,Invalid,Exclude,X,Pre-trend or placebo validation failed.,90
51962,4640054081,77,-7038.945606060663,-19.778926789813436,-6.339609781840227,0.0001394866144075,-7726.531363419973,-17.92561442872204,-10.744260760220346,5.088775181414737e-15,7.158117004670009e-05,False,0.0055461906112019,False,0.0,,0.00018187204972469614,1.0177550362829473e-14,Invalid,Exclude,X,Pre-trend or placebo validation failed.,225
52136,4640054081,83,12740.490277777795,19.59087214795163,24.266237241989145,1.7203619960402466e-75,3074.9407777777847,4.7390946825377185,5.845899388986497,2.1575356944154728e-78,1.8363751999040315e-06,False,0.8867073853030121,True,14003.875,0.5236196430369571,3.123118700503832e-74,2.679886441484482e-77,Invalid,Exclude,X,Pre-trend or placebo validation failed.,93
52376,4640055081,79,6005.351388888898,9.816649858921473,11.902523337783403,1.4157150259771656e-92,1396.3188611111116,2.2842141095462676,2.765763688323937,7.086172409434604e-94,3.260536203989161e-09,False,0.0319213947580606,False,14906.125,0.7128203060746212,6.682174922612221e-91,1.6723366886265667e-92,Invalid,Exclude,X,Pre-trend or placebo validation failed.,107
52565,4900000036,80,14232.304166666678,22.54425105887099,28.285406679224288,1.8833184201331577e-67,2149.446666666669,3.3352556486252816,4.341339589469965,1.4477354071445598e-50,1.203237187534396e-09,False,0.4789696892735745,True,13771.374999999996,0.4917702034092839,2.3392797218496066e-66,7.7651262746844575e-50,Invalid,Exclude,X,Pre-trend or placebo validation failed.,102
53416,4900000129,51,1189.0111111111014,1.8604151207278965,3.968070718052012,5.9578635743800085e-08,7141.480638888836,15.265320111971146,19.74193792179766,5.050376518531769e-53,0.1074591936413393,True,0.127108580303847,True,1049.0,0.4687197462032281,9.013178227908218e-08,2.979722145933744e-52,Valid,Redesign,B,Positive on both metrics but cannibalization (47%) exceeds threshold — narrow the product/store scope.,22
54436,4900000243,81,4452.464930555598,8.256722076619841,13.73075906192632,3.4746377681895118e-15,-773.1856259920719,-2.2193685784158665,-1.5988320437672043,1.7223694573053834e-33,1.8910712046299228e-12,False,0.259390642276472,True,20418.0,0.8209737959065918,7.256765604360396e-15,6.452050665461436e-33,Invalid,Exclude,X,Pre-trend or placebo validation failed.,183
54579,4900000243,74,19305.29999999996,39.00051123467686,47.96029957613377,1.104738295550244e-80,-3567.4599999999864,-9.246336067415411,-6.823303572224167,1.2468098004028402e-38,0.0004600302000219,False,6.102906020556614e-05,False,24015.5,0.5543641853336047,2.896869308331751e-79,4.987239201611361e-38,Invalid,Exclude,X,Pre-trend or placebo validation failed.,218
54614,4900000243,82,12726.87500000001,22.81929023679255,28.91597399084976,4.096048274910816e-62,3436.8545277777794,6.0431365456009765,7.927816819349344,7.934254118665547e-48,9.942953858184877e-18,False,5.5174575192754705e-17,False,12369.0,0.4928698441476934,3.8666695715158106e-61,3.9010082750105603e-47,Invalid,Exclude,X,Pre-trend or placebo validation failed.,91
55965,4900000546,71,11517.601041666738,18.183219807222425,28.165275330269484,8.994305213517766e-20,5646.122700892889,8.417029688333667,14.30378600942444,3.8853987770565815e-14,0.000285659599849,False,8.825619422062193e-05,False,0.0,0.0,2.3585067004335474e-19,7.277413582423438e-14,Invalid,Exclude,X,Pre-trend or placebo validation failed.,84
55988,4900000546,80,20309.944444444453,31.700449288377325,40.835066584638575,1.2877135598597259e-54,1335.01975,1.6515748335312328,3.116352845040196,1.773385539490387e-10,0.1499943262043157,True,0.7392010837793639,True,,,9.803238713770816e-54,2.8665684062995295e-10,Valid,Keep,A,"Validated, incremental units and margin are both decisively positive with acceptable cannibalization.",9
56193,4900000550,58,3294.2319444444506,7.040598141469817,9.187145427222058,1.1343595689402254e-49,1056.9660833333346,2.1368320211985203,3.0698974533499266,7.663645099441509e-28,0.1327804602753221,True,0.8550389522951031,True,10911.374999999998,0.7681034004863295,7.873789949114505e-49,2.4775619773536935e-27,Valid,Redesign,B,Positive on both metrics but cannibalization (77%) exceeds threshold — narrow the product/store scope.,26
56288,4900000551,85,9684.49032738099,16.775673233135798,28.79839889571592,1.089609995753879e-13,-2756.4675277777933,-7.280219942527828,-5.691391952897082,1.2440445990684917e-57,2.88828134745959e-27,False,0.6971954488940011,True,21277.375,0.6872123102086956,2.1609072184698777e-13,8.38841501086183e-57,Invalid,Exclude,X,Pre-trend or placebo validation failed.,214
56460,4900000551,76,53461.44861111165,105.95013581881858,128.52990194921497,4.341750753714473e-92,-11738.54837500013,-28.49998412052531,-22.98487717333491,8.785200827699413e-75,1.4271859114671022e-47,False,1.2285831120222263e-68,False,26273.75,0.3295125673185264,1.707755296461026e-90,9.872892358747912e-74,Invalid,Exclude,X,Pre-trend or placebo validation failed.,229
56484,4900000551,83,66011.6402577273,64.14285572876189,80.46095644588716,1.4332106684442974e-67,6742.975940919132,6.31798008941186,8.45305154458405,6.952517283656127e-42,1.440385032752171e-23,False,0.4851487814084239,True,15948.625,0.1945897191748821,1.9896336338403185e-66,2.9832619617142655e-41,Invalid,Exclude,X,Pre-trend or placebo validation failed.,82
56767,4900000569,84,4956.521775793701,9.22261468697518,14.379869959661493,2.9680686095855543e-19,-850.8980000000066,-2.300388826339441,-1.7515064117558286,1.9128312422736112e-47,4.2772037860974994e-14,False,0.9115501189357732,True,21110.0,0.8098510488500809,7.613741215893378e-19,9.212819860746373e-47,Invalid,Exclude,X,Pre-trend or placebo validation failed.,185
56892,4900000569,73,16307.29097222231,33.33296457331594,41.129551281580454,3.4697885542945976e-78,-2928.496479166683,-7.911830380332877,-5.460299661524123,1.1236331535207667e-26,8.3265881124935e-36,False,1.8068309762958167e-47,False,24394.25,0.5993446296455559,8.188700988135251e-77,3.356676256087354e-26,Invalid,Exclude,X,Pre-trend or placebo validation failed.,216
56925,4900000569,82,20781.83462680232,20.250934655169377,25.82852128009076,5.713210008959005e-59,727.433389228163,0.4047722525551278,1.2081620916314866,8.321644319174029e-05,0.9121697682183916,True,9.365513838465022e-17,False,15660.125000000002,0.4297278510918029,4.993768748571575e-58,0.00010673413365897123,Invalid,Exclude,X,Pre-trend or placebo validation failed.,122
57381,4900000572,76,9192.739813289332,9.76537263785449,12.226827872407071,1.1694490102884383e-68,1114.1979657697195,1.0386605767492003,1.6268847959056312,6.590474148158187e-19,0.0742148349076467,True,6.035810654724204e-10,False,15280.250000000002,0.6243720165201275,1.8399331095204763e-67,1.5710625242074062e-18,Invalid,Exclude,X,Pre-trend or placebo validation failed.,112
58079,4900000639,76,194620.8050595258,385.852810106467,467.74721208443555,9.2269035399892e-93,-39161.00868154803,-94.81635309090616,-76.94245691588344,3.958380867633572e-79,4.598427215462463e-86,False,8.598827509055398e-87,False,26273.75,0.1189424972151072,5.443873088593628e-91,5.189877137564016e-78,Invalid,Exclude,X,Pre-trend or placebo validation failed.,235
58106,4900000639,83,152510.7374999998,275.6710930978692,336.821828588877,8.36669340515825e-86,41637.7010823412,75.35790697400626,91.861776087605,9.277130681213344e-88,1.5737437399927185e-58,False,4.1440651057175474e-73,False,11740.249999999998,0.0714775002494278,2.4681745545216836e-84,1.5638591719759635e-86,Invalid,Exclude,X,Pre-trend or placebo validation failed.,69
58394,4900000663,82,36259.38363095251,77.46810766144745,99.4069344407599,3.0328701411599757e-56,-6030.266434523834,-16.356976615012705,-13.058957211932825,1.98379320365934e-68,3.636090414613782e-48,False,0.0212712785655507,False,20466.875,0.3608007207588394,2.468128804530187e-55,1.6720542716557294e-67,Invalid,Exclude,X,Pre-trend or placebo validation failed.,223
58583,4900000663,76,98428.54169387468,164.68960160121506,205.3425100298927,3.4543344260695708e-71,-26228.399529203576,-55.09738580365313,-43.50561994523249,2.093401247866089e-62,2.468707150763542e-49,False,9.147347845310056e-51,False,30846.625000000004,0.2386121463919302,5.823020889660133e-70,1.4970990742315061e-61,Invalid,Exclude,X,Pre-trend or placebo validation failed.,233
58608,4900000663,83,80512.50297619036,146.68011137089283,176.6632740756548,3.667405283439249e-99,22687.428706349172,41.16550820550027,49.9486633059422,6.679949736109015e-92,1.9754269196737037e-50,False,3.3680407081568034e-57,False,11740.249999999998,0.1272617848383349,2.8850254896388757e-97,1.3137234481014395e-90,Invalid,Exclude,X,Pre-trend or placebo validation failed.,73
59316,4900000935,84,23555.0314980161,48.158342556732585,64.00847410048694,9.614170477502484e-44,-4156.236738591303,-11.266591081353836,-8.525012435747607,1.8920225045133505e-45,9.473207796624736e-35,False,0.1106838747541414,True,21110.0,0.4726292424295648,5.402248173072825e-43,8.586871366637514e-45,Invalid,Exclude,X,Pre-trend or placebo validation failed.,219
